Question,Option A,Option B,Option C,Option D
"Sectors of the environment which have direct impact on the organization are called the:","task environment","general environment","organizational buffers","environmental boundary-spanners"
"The task environment is:","all elements that exist outside the organizational boundary","sectors with which the organization interacts directly","domain","all jobs and positions inherent within the organizational activity"
"An organization’s environment includes all except:","labor market","city, state, and federal laws","Competitors","production processes"
"The ______ includes those sectors that might not have a direct impact on the daily operations of a firm but will indirectly influence it.","general environment","international context","task environment","buffering roles"
"Which of the following is a proper dimension of the framework for assessing environmental uncertainty?","Dispersion-contiguity","Simple-complex","Certain-uncertain","Internal-external"
"Which of the following means that decision makers do not have sufficient information about environmental factors and they have a difficult time predicting external change?","Cooptation","Differentiation","Uncertainty","Integration"
"Which of the following is a proper dimension of the framework for assessing environmental uncertainty?","Stable-unstable","Loose-tight","Known-unknown","High competitiveness-low competitiveness"
"Organizations in which of the following types of industries would face the greatest amount of environmental uncertainty?","Beer distributors because of simplicity","Universities because of complexity","Airlines because of instability","Appliance manufacturers because of complexity"
"Boundary-spanning roles:","primarily link data to information","buffer the manufacturing department from outside intrusion that would interfere with efficiency","bring into the organization information about environmental changes","move the firm to internationalism"
"Bobby Barista is a researcher in the R&D department at 3M. Part of her job is to read technical and scientific journals, and to attend conferences to find out what new developments are occurring. When she is doing this part of her job she is carrying out a _____ role.","buffering","maintenance","boundary spanning","managerial"
"The differences in cognitive and emotional orientations among managers in different functional departments, and the difference in formal structure among these departments is referred to as","integration","resource dependence","cooptation","differentiation"
"In organizations characterized by very _______ and _____ environments, almost no managers are assigned to integration roles.","simple, stable","simple, unstable","complex, stable","complex, unstable"
"_______ is the quality of collaboration among departments.","Differentiation","Integration","Uncertainty","Cooptation"
"Organizations in rapidly changing environments tend to have _______ management processes.","differentiated","mechanistic","organic","dependent"
"Which of the following is not a characteristic of the mechanistic process?","Knowledge and control of tasks are centralized at the top of the organization","Tasks are rigidly defined","There is a strict hierarchy of authority and control","Communication is horizontal"
"Which of the following characteristics most accurately describes mechanistic organizations?","Authoritarian, unfriendly leadership","Communication is horizontal","It is a service organization with individualized customer demands","Tasks are broken down into specialized parts"
"_______ means that organizations depend on the environment but strive to acquire control over resources to minimize their dependence.","Integration","Resource dependence","Organic process","Cooptation"
"A(n) ____________ involves the purchase of one organization by another so that the buyer assumes control.","acquisition","merger","joint venture","domain"
"An organization can change its domain most directly by:","hiring a new CEO","changing the nature of the labor - management agreements","Divesting a division of the organization","moving to a more favorable structure"
"_______ can be used to erect regulatory barriers against new competitors or to squash unfavorable legislation.","Cooptation","Contracts","Joint venture","Political strategy"
"Which of the following is not a primary factor that motivates companies to expand internationally?","Cheaper production factors","Smaller number of distribution channels","Economies of scale","Economies of scope"
"_______ refers to the number and variety of products and services a company offers, as well as the number and variety of regions, countries, and markets it serves.","Economies of scale","Market potential","Scope","Development stage"
"In the _______ stage, an international division has replaced the export department, and specialists are hired to handle sales, service, and warehousing abroad.","domestic","international","global","multinational"
"_______ strategy would encourage production design, assembly, and marketing tailored to the specific needs of each country.","focused","multidomestic","globalization","joint venture"
"When a company such as Coca-Cola decides to use the same product design and advertising strategy throughout the world, it is following the ____________ strategy.","multidomestic","consortia","focused","globalization"
"The global product structure works best when a division handles products that:","are technologically dissimilar","can be standardized for marketing worldwide","obsolete in one country, but not in another","cheap and easy to produce"
"The global matrix structure:","will increase horizontal coordination, but will decrease vertical coordination","works best when there is pressure for decision making that balances the interests of both product standardization and geographical localization","commonly utilizes matrix bosses as functional and product heads","is usually found in firms that have reached the 'international stage' of international evolution"
