Numero,Domanda,Risposta
1,"The definition of ""organization"" is","C. A social entity that is goal-directed, has a deliberately-structured activity system, and a permeable boundary."
2,The key element of an organization is it's,B. People and their relationships.
3,Financial resources for nonprofit organizations usually come from all of the following except,A. The sale of competitor's products or services.
4,Non-profit organization managers deal with many diverse shareholders and must market their services to all of the following except,B. Shareholders.
5,The importance of organizations includes all of the following concepts except,B. Establishing important relationships with the government.
6,Organizations exist to do which of the following?,D. Facilitate innovation.
7,Organizations create a drive for rather than reliance on standard products and outmoded ways of doing things.,C. Innovation.
8,An open system:,B. Exports resources to the environment.
9,The organization should be viewed as a system which is a set of interrelated elements that,"A. Acquires inputs, transforms them, and discharges outputs."
10,The surgery department in a hospital would belong to which subsystem,A. Production.
11,Organizational subsystems include which of the following,A. Boundary subsystems responsible for exchanges with the external environment.
12,The technical core refers to,"B. The people who do the basic work of the organization, producing product and service outputs."
13,Mintzberg's five basic parts of an organization include all except which of the following,D. Computer infrastructure.
14,An open system and its subsystem are characterized by,"A. A transformation process that involves production, maintenance, adaptation, and management."
15,"Functions such as human resources, organizational development, the employee cafeteria, and maintenance staff refer to which of the following five basic parts of an organization",C. Administrative support.
16,___ is the subsystem responsible for directing and coordinating other parts of the organization.,B. Management.
17,Contextual dimensions:,D. Include size and environment.
18,Which of the following provides labels to describe the internal characteristics of an organization?,D. Structural dimensions.
19,The 385-page book that McDonald's uses to describe all rules and procedures in each of its stores best represents which of the following dimensions,C. Formalization.
20,The degree to which organizational tasks are subdivided into separate jobs is referred to as,B. Specialization.
21,___ refer to the deployment of people to various functions and departments.,C. Personnel ratios.
22,"Which of the following concerns how the organization actually produces the products and services it provides for customers and includes flexible manufacturing, advanced information systems, and the Internet?",B. Organizational technology.
23,"Which of the following is a contextual, rather than a structural dimension of an organization?",B. Culture.
24,Compare W.L. Gore Associates with Wal-Mart (In Practice activity). These two companies illustrate the concept that,B. Successful organizations can have very different strategies and goal emphases.
25,___ is the degree to which an organization achieves its goals.,A. Effectiveness.
26,Which of the following integrate diverse organizational activities by looking at various organizational stakeholders and what they want from the organization?,D. Stakeholder approach.
27,"Scientific management, pioneered by Frederick Taylor, claimed that decisions about organizations and job design should be based on","A. Precise, scientific procedures after careful study of individual situations."
28,Scientific management was,"D. Successful at increasing output, in part through the use of incentive systems."
29,"___ emphasized designing and managing organizations on an impersonal, rational basis through such elements as clearly defined authority and responsibility, formal record keeping, and uniform application of standard rules.",C. Bureaucratic organizations.
30,Interpretations of ___ concluded that positive treatment of employees improved their motivation and productivity.,Hawthorne Studies.
31,Contingency means that,"C. One thing depends on other things, such as structure depending on environment."
32,"John Black, a management consultant, successfully implemented an MBO program on his first consulting job. He now recommends MBO to all his clients. In so doing, our text would say the main point is that he is ignoring",B. The principles of contingency theory.
33,The learning organization,A. Places high value on problem solving.
34,"In today's world, savvy managers recognize","A. They cannot measure, predict or control their environment."
35,Which of the following is not an element of organizational design?,C. Technological advances.
36,"In a learning organization, the ___ encourages openness, equality, continuous improvement, and change.",B. Culture.
37,The study of organization behavior is,A. Different from the study of organization theory because of a different focus.
38,The study of organization behavior is,D. A micro approach focusing on the individual.
39,The primary level of analysis in organization theory is on the ___ with some concern for the ___ and the ___.,"B. Organization, environment, departments."
40,Mission is the same thing as,C. Official goals.
41,Organization is born as a result of the,D. Division of labor.
